mean,std,max,min,median,kurtosis,skew,rms,crest_factor,impulse_factor,clearance_factor,label
-53.193032552826956,1691.3976734948712,27604.0,-32736.0,2.0,231.95343239531854,-9.567731907423282,1692.2339048181339,19.344843468030014,133.6595301145916,0.011431542302131704,0
-46.976965543498956,1719.3644479116672,28697.0,-32261.0,3.0,221.8861162970651,-7.427401523310629,1720.0060872084919,18.756328968787805,123.11516013169708,0.010904803830798445,0
-50.32876451551494,1720.278878441618,27398.0,-32768.0,10.0,220.869922983151,-9.645880936005279,1721.014934319284,19.039927746449674,124.9843372312965,0.011063197283631108,0
-58.23643632210165,1712.0710268278883,25421.0,-32327.0,-12.0,224.14938401985077,-8.318563654670728,1713.061202473221,18.870896120540294,129.27649915878104,0.011015891372296307,0
-57.218922520464496,1729.04361941869,31021.0,-32319.0,-4.0,211.24473268813296,-7.852472065790108,1729.990127991165,18.681609494227732,115.63656481733122,0.010798679825948197,0
-52.43936798020179,1775.0646386365866,31915.0,-32329.0,-17.0,207.13840638670834,-7.088547257061142,1775.8390576435127,18.204915507883722,116.6644479770057,0.010251444481709466,0
-44.85170378831144,1757.8545745886101,32547.0,-32312.0,-9.0,211.63803177802245,-6.545189455341368,1758.4266776680847,18.509159587570515,123.72231380438245,0.01052597746760542,0
-25.87702265372168,1681.1290672942696,32445.0,-32341.0,-4.0,229.97433163989186,-3.825099368508976,1681.3282134084118,19.297243537136065,125.07840444909564,0.011477380432471554,0
-13.445840472111174,1687.3443786971543,29739.0,-32339.0,24.0,232.1403209234322,-7.611243445169763,1687.3979503800779,19.165010833820087,122.49806709254808,0.011357730302744095,0
-68.564058633162,1886.725249596538,31244.0,-32345.0,-24.0,180.18458362404857,-7.113572982406909,1887.9706559163917,17.132151868271617,105.18871755884925,0.009074374018782583,0
-33.771368741671424,1888.2093245064807,30918.0,-32333.0,12.0,177.2399414917408,-6.4634922136862425,1888.511307485318,17.120892986896436,102.18843328145053,0.009065814389903802,0
-44.82314867694651,1910.0691028522706,32426.0,-32377.0,-2.0,167.9924259755502,-7.219587320919191,1910.5949576841747,16.971676738487492,101.24331498674528,0.008882927629547812,0
-109.3453264801066,2407.4648472182553,32562.0,-32498.0,-42.0,150.4250451913299,-8.121745075809498,2409.9467610332513,13.511501800163927,95.14628430489633,0.005606556135858764,0
-120.17723205787169,2405.4450752988023,29141.0,-32493.0,-46.0,147.8748046169153,-8.3682081267562,2408.445261446552,13.491276102527722,95.50748764090211,0.005601653613844076,0
-94.01484865790977,2360.1350899154604,30309.0,-32515.0,-37.0,150.3939434417646,-7.947568172854577,2362.006865870298,13.765836361368756,99.20617942939455,0.005828025549069112,0
-106.29487911669523,2335.950341213956,32563.0,-32504.0,-45.0,158.72849720652465,-8.749615895456461,2338.36750703221,13.925527061966422,99.33422667492839,0.005955234589981243,0
-95.14201408718827,2385.066327036366,31731.0,-32534.0,-36.0,150.9631649498931,-7.907128339624459,2386.963214464628,13.629870708877704,99.32282033146525,0.005710130188133104,0
-101.1302113078241,2396.0888138449995,28288.0,-32486.0,-34.0,147.35425902628174,-8.649210617734768,2398.2220338142797,13.545868373301644,97.24523786051193,0.005648296188721718,0
-122.61907481439178,2422.5342472484676,31201.0,-32462.0,-41.0,149.46446414414453,-8.681872693128042,2425.635507779361,13.382884566081636,98.28544371795344,0.005517269401425237,0
-122.94802969731582,2404.2485246669576,25409.0,-32471.0,-40.0,146.904368851684,-9.611931463130215,2407.3901192722574,13.488050706885774,96.42463373711382,0.005602768989914749,0
-138.16333523700743,2383.5764102887915,25590.0,-32509.0,-66.0,148.2916775097738,-9.655628493696842,2387.577351812715,13.615893941747382,95.54302267030704,0.005702807463561262,0
-88.53588425661526,2373.236270352046,29083.0,-32493.0,-27.0,148.4042820036962,-8.386185908849537,2374.887154732955,13.681913237538096,99.98724660603665,0.005761079304450809,0
-115.17856462973539,2357.8835793217886,31779.0,-32552.0,-59.0,153.52824965398995,-8.465425381894786,2360.6950407423433,13.789159310371453,94.20464523337176,0.0058411438463628566,0
-115.39710641538169,2429.603940591047,26940.0,-32485.0,-42.0,143.79498377939163,-8.862438957030882,2432.342862407475,13.355436234777823,94.24876571814244,0.0054907704177687075,0
-120.48543689320388,2476.931265772604,31969.0,-32414.0,-50.0,140.8141165780194,-7.59452055025452,2479.859922629748,13.070899571467258,93.76741135446977,0.005270821731578421,0
-81.35275080906149,2442.81892389638,32619.0,-32447.0,-29.0,140.38769380156654,-7.266792030998436,2444.173186378263,13.345617316232127,99.49667797814817,0.005460176631758019,0
-127.3011612411955,2410.4504272922622,29248.0,-32498.0,-50.0,147.5360237494427,-9.163428067917367,2413.809613057088,13.463365057545408,98.0771417031821,0.00557764166018631,0
-125.81420140871883,2366.283024194729,26748.0,-32519.0,-61.0,149.56927502329606,-8.46320092219867,2369.6254058117,13.723266099462174,96.12873885209812,0.0057913229938389155,0
-114.89605939463164,2409.3016553053453,27864.0,-32479.0,-47.0,145.03150684268644,-8.954832212576889,2412.0397116800323,13.465367026390187,95.67619733909069,0.005582564400240036,0
-129.11212640395965,2418.0222748901906,30146.0,-32491.0,-55.0,142.43393035769085,-8.689052669371291,2421.4668412038363,13.41790002949082,92.95782957980447,0.00554122806935489,0
-144.91928421854178,2457.0077434853606,29588.0,-32517.0,-67.0,140.38120868311427,-8.843360787674237,2461.2778491030704,13.211429994321739,91.97567712952328,0.005367711735242,0
-95.72206358271464,2275.7945074315794,32391.0,-32488.0,-61.0,158.93745681148658,-7.349736901972808,2277.8066980128665,14.262843299364329,98.88326569587014,0.006261656580344186,0
-99.76584808680754,2333.025434880793,32664.0,-32507.0,-58.0,156.16931425951697,-7.024072746196209,2335.15757589187,13.987921130986031,99.37657505716423,0.005990140141032498,0
-99.76584808680754,2333.025434880793,32664.0,-32507.0,-58.0,156.16931425951697,-7.024072746196209,2335.15757589187,13.987921130986031,99.37657505716423,0.005990140141032498,0
-107.50390253188654,2291.6953580608447,28226.0,-32499.0,-48.0,162.06923001764773,-9.008694773626003,2294.2154875288434,14.165626627778318,103.09983730351411,0.006174496992449679,0
-100.44089091947458,2272.5440508699116,30338.0,-32490.0,-46.0,164.0210230725435,-9.447295130288568,2274.762588867886,14.28280918588949,106.95992965849524,0.006278813119129863,0
-91.55568246716162,2327.683941209839,32260.0,-32512.0,-36.0,162.00695978290176,-7.859126918114127,2329.4838426480223,13.956739860037938,95.08073416560147,0.005991344350417442,0
-110.62383399961927,2309.1902115716557,29568.0,-32528.0,-44.0,159.76432263572013,-9.30152379440575,2311.838460158305,14.070187238676104,104.86894817177019,0.006086146364098742,0
-87.49000571102228,2303.73043119721,31352.0,-32462.0,-50.0,156.1680937573697,-7.232677515823339,2305.3911600254296,14.08090764069813,102.81326010554882,0.006107817139605416,0
-81.58195316961736,2247.0877070419388,28938.0,-32499.0,-48.0,162.26514479717483,-7.530204932185727,2248.568161791403,14.453197618038184,105.543371037423,0.0064277338190733444,0
-99.01123167713688,2252.765056848742,31559.0,-32492.0,-30.0,172.97451527426384,-9.566249391390247,2254.9398274359646,14.40925367704638,109.21998666429474,0.006390083452218224,0
-93.27926898914906,2244.1692417528625,32661.0,-32503.0,-37.0,169.5899971965402,-8.86546336267503,2246.106989360206,14.541159506076486,106.38333428409857,0.006473938941892733,0
-73.80373120121835,2323.3137744328105,30553.0,-32512.0,-18.0,159.20051393584112,-8.156390613745726,2324.4857248880776,13.986749693446894,105.72278351798212,0.006017137271996086,0
-110.57947839329907,2446.193197081283,31280.0,-32513.0,-41.0,143.68356948214154,-8.460243214677611,2448.691278721857,13.277704822377938,97.87258285234884,0.005422367832872955,0
